dataset_name,xyz_lr_c,xyz_lr_final_c,radius_lr_c,radius_lr_final_c,weights_lr_c,weights_lr_final_c,mean_training_loss,mean_density_field_loss
starling,0.01,0.7,0.05,0.7,0.1,0.7,97101.494140625,0.8117051056432643
starling,0.01,0.7,0.05,0.7,0.1,0.8,97259.095703125,0.8158695657458146
starling,0.01,0.7,0.05,0.7,0.1,0.9,97608.9765625,0.8189293726614284
starling,0.01,0.7,0.05,0.7,0.14,0.7,102844.2265625,0.8186925873733553
starling,0.01,0.7,0.05,0.7,0.14,0.8,102946.48046875,0.8214727592845666
starling,0.01,0.7,0.05,0.7,0.14,0.9,103023.267578125,0.8235513186513377
starling,0.01,0.7,0.05,0.7,0.2,0.7,115598.521484375,0.8107815904068153
starling,0.01,0.7,0.05,0.7,0.2,0.8,115858.39453125,0.8081877600118184
starling,0.01,0.7,0.05,0.7,0.2,0.9,115955.11328125,0.8102443995277722
starling,0.01,0.7,0.05,0.8,0.1,0.7,97049.78515625,0.8134472210782155
starling,0.01,0.7,0.05,0.8,0.1,0.8,97037.623046875,0.8173501159739787
starling,0.01,0.7,0.05,0.8,0.1,0.9,97337.619140625,0.8204826907706393
starling,0.01,0.7,0.05,0.8,0.14,0.7,102625.3125,0.8201078336716232
starling,0.01,0.7,0.05,0.8,0.14,0.8,102799.126953125,0.8233785795041693
starling,0.01,0.7,0.05,0.8,0.14,0.9,103094.349609375,0.8239625962555077
starling,0.01,0.7,0.05,0.8,0.2,0.7,115412.619140625,0.8116342747729353
starling,0.01,0.7,0.05,0.8,0.2,0.8,115569.484375,0.808942376600529
starling,0.01,0.7,0.05,0.8,0.2,0.9,115971.416015625,0.8093514537504678
starling,0.01,0.7,0.05,0.9,0.1,0.7,96572.259765625,0.8144474729671557
starling,0.01,0.7,0.05,0.9,0.1,0.8,96691.73828125,0.8184510092521817
starling,0.01,0.7,0.05,0.9,0.1,0.9,96842.58203125,0.8217190294824209
starling,0.01,0.7,0.05,0.9,0.14,0.7,102700.111328125,0.8209924067154015
starling,0.01,0.7,0.05,0.9,0.14,0.8,102849.33984375,0.8239731227022811
starling,0.01,0.7,0.05,0.9,0.14,0.9,103208.345703125,0.8248873083774193
starling,0.01,0.7,0.05,0.9,0.2,0.7,115261.802734375,0.811141075472483
starling,0.01,0.7,0.05,0.9,0.2,0.8,115576.40234375,0.8092791481278783
starling,0.01,0.7,0.05,0.9,0.2,0.9,115744.2265625,0.8099519307182035
starling,0.01,0.7,0.1,0.7,0.1,0.7,94651.892578125,0.7545338082749149
starling,0.01,0.7,0.1,0.7,0.1,0.8,94393.865234375,0.75542690688486
starling,0.01,0.7,0.1,0.7,0.1,0.9,94052.994140625,0.7559535830127666
starling,0.01,0.7,0.1,0.7,0.14,0.7,97043.578125,0.7837988318406964
starling,0.01,0.7,0.1,0.7,0.14,0.8,96844.439453125,0.7905997613225139
starling,0.01,0.7,0.1,0.7,0.14,0.9,96977.125,0.7925724148344548
starling,0.01,0.7,0.1,0.7,0.2,0.7,106181.103515625,0.8269804305567074
starling,0.01,0.7,0.1,0.7,0.2,0.8,106083.662109375,0.8325183101303724
starling,0.01,0.7,0.1,0.7,0.2,0.9,106028.8515625,0.8247455531636223
starling,0.01,0.7,0.1,0.8,0.1,0.7,94754.5,0.7543177062042511
starling,0.01,0.7,0.1,0.8,0.1,0.8,94275.830078125,0.754845035706712
starling,0.01,0.7,0.1,0.8,0.1,0.9,94065.634765625,0.7579910039492733
starling,0.01,0.7,0.1,0.8,0.14,0.7,96429.48828125,0.7852036914903548
starling,0.01,0.7,0.1,0.8,0.14,0.8,97228.767578125,0.7908130952869512
starling,0.01,0.7,0.1,0.8,0.14,0.9,97171.599609375,0.7935262758181812
starling,0.01,0.7,0.1,0.8,0.2,0.7,106308.921875,0.8326601678622898
starling,0.01,0.7,0.1,0.8,0.2,0.8,106263.384765625,0.8322285959623652
starling,0.01,0.7,0.1,0.8,0.2,0.9,106407.81640625,0.82824984109646
starling,0.01,0.7,0.1,0.9,0.1,0.7,94542.740234375,0.7564631605965773
starling,0.01,0.7,0.1,0.9,0.1,0.8,94442.861328125,0.7559422190310431
starling,0.01,0.7,0.1,0.9,0.1,0.9,94364.734375,0.7603228662785679
starling,0.01,0.7,0.1,0.9,0.14,0.7,97353.609375,0.786553390253537
starling,0.01,0.7,0.1,0.9,0.14,0.8,96678.53515625,0.791907494073012
starling,0.01,0.7,0.1,0.9,0.14,0.9,97074.349609375,0.7957701608731249
starling,0.01,0.7,0.1,0.9,0.2,0.7,106561.93359375,0.8342221912698979
starling,0.01,0.7,0.1,0.9,0.2,0.8,106484.9296875,0.8381225968662052
starling,0.01,0.7,0.1,0.9,0.2,0.9,106095.505859375,0.8292997715679464
starling,0.01,0.7,0.2,0.7,0.1,0.7,108836.7265625,0.8158844485605036
starling,0.01,0.7,0.2,0.7,0.1,0.8,110843.8359375,0.8041451211682411
starling,0.01,0.7,0.2,0.7,0.1,0.9,110604.556640625,0.8117657864966275
starling,0.01,0.7,0.2,0.7,0.14,0.7,106834.69921875,0.8289549300051235
starling,0.01,0.7,0.2,0.7,0.14,0.8,106419.25,0.8257277306216999
starling,0.01,0.7,0.2,0.7,0.14,0.9,108270.033203125,0.8086545406274888
starling,0.01,0.7,0.2,0.7,0.2,0.7,114664.15625,0.8441027869133808
starling,0.01,0.7,0.2,0.7,0.2,0.8,115512.9375,0.8425582915926864
starling,0.01,0.7,0.2,0.7,0.2,0.9,116870.6171875,0.8411444530354855
starling,0.01,0.7,0.2,0.8,0.1,0.7,109459.25390625,0.8065304685355129
starling,0.01,0.7,0.2,0.8,0.1,0.8,109765.3671875,0.8036525776187221
starling,0.01,0.7,0.2,0.8,0.1,0.9,109439.193359375,0.80859820857726
starling,0.01,0.7,0.2,0.8,0.14,0.7,107453.005859375,0.8262746198749771
starling,0.01,0.7,0.2,0.8,0.14,0.8,108963.1484375,0.8184140159381088
starling,0.01,0.7,0.2,0.8,0.14,0.9,110565.8046875,0.8102728009632144
starling,0.01,0.7,0.2,0.8,0.2,0.7,115430.068359375,0.8415422536629553
starling,0.01,0.7,0.2,0.8,0.2,0.8,116109.47265625,0.8389846675804213
starling,0.01,0.7,0.2,0.8,0.2,0.9,115711.87890625,0.8324836596871124
starling,0.01,0.7,0.2,0.9,0.1,0.7,110815.46484375,0.8061383768072823
starling,0.01,0.7,0.2,0.9,0.1,0.8,109674.708984375,0.803749375343819
starling,0.01,0.7,0.2,0.9,0.1,0.9,111115.8671875,0.8048064777403636
starling,0.01,0.7,0.2,0.9,0.14,0.7,109257.107421875,0.8158133513653084
starling,0.01,0.7,0.2,0.9,0.14,0.8,109584.482421875,0.8162912911720426
starling,0.01,0.7,0.2,0.9,0.14,0.9,108705.126953125,0.8149403802474786
starling,0.01,0.7,0.2,0.9,0.2,0.7,117251.01953125,0.8410093861172245
