dataset_name,xyz_reg,radius_reg,radius_cutoff_inv,mean_training_loss,mean_density_field_loss
starling,0,0,0.5,97522.4296875,0.5414363251090615
starling,0,0,1,97130.365234375,0.5408522143228721
starling,0,0,2,96857.138671875,0.5416887708637345
starling,0,0,3,97447.41796875,0.5402890323630114
starling,0,0.3,0.5,74228.9921875,0.6052614219331687
starling,0,0.3,1,73553.578125,0.6066003310393266
starling,0,0.3,2,75771.0625,0.5993686102871254
starling,0,0.3,3,74492.341796875,0.6045022089525414
starling,0,0.6,0.5,69185.607421875,0.49503936760582123
starling,0,0.6,1,68751.6923828125,0.4937485404488542
starling,0,0.6,2,69446.650390625,0.4945041108793303
starling,0,0.6,3,68677.7421875,0.49693942054955276
starling,0,1.0,0.5,73349.193359375,0.5250537098656117
starling,0,1.0,1,73320.58203125,0.5331194731969314
starling,0,1.0,2,72896.71484375,0.5285378316273641
starling,0,1.0,3,72139.880859375,0.5302502958709964
starling,0.3,0,0.5,95592.302734375,0.6268362276424169
starling,0.3,0,1,83083.400390625,0.7072887865150894
starling,0.3,0,2,92300.154296875,0.6594067866488978
starling,0.3,0,3,88022.435546875,0.6835078285553017
starling,0.3,0.3,0.5,73852.552734375,0.618378298107136
starling,0.3,0.3,1,74923.3046875,0.6137177644246974
starling,0.3,0.3,2,77793.82421875,0.6728640500875549
starling,0.3,0.3,3,82570.4609375,0.6762337321410963
starling,0.3,0.6,0.5,68591.6923828125,0.5314526247312277
starling,0.3,0.6,1,71750.0078125,0.6713867405278287
starling,0.3,0.6,2,74772.41015625,0.5880252230913837
starling,0.3,0.6,3,86566.728515625,0.8061871641223646
starling,0.3,1.0,0.5,72697.9609375,0.5004940517297112
starling,0.3,1.0,1,68745.310546875,0.48774800601383644
starling,0.3,1.0,2,75559.97265625,0.6880153423152193
starling,0.3,1.0,3,80636.2421875,0.8162135940771402
starling,0.6,0,0.5,97104.939453125,0.6891112363181078
starling,0.6,0,1,87451.916015625,0.7127738980645074
starling,0.6,0,2,96455.251953125,0.7136573162603145
starling,0.6,0,3,155743.40625,0.8577125541083963
starling,0.6,0.3,0.5,73752.115234375,0.6327534174190286
starling,0.6,0.3,1,76447.142578125,0.6665574369815093
starling,0.6,0.3,2,87672.921875,0.6757553833939884
starling,0.6,0.3,3,142620.0078125,0.8434504618201304
starling,0.6,0.6,0.5,68540.880859375,0.564048090298382
starling,0.6,0.6,1,67871.763671875,0.6832237460711214
starling,0.6,0.6,2,82806.423828125,0.5989549924810946
starling,0.6,0.6,3,151468.84375,0.7925814586706872
starling,0.6,1.0,0.5,70250.376953125,0.5094907670544421
starling,0.6,1.0,1,69532.93359375,0.5508729084891408
starling,0.6,1.0,2,84789.21484375,0.6158645207614445
starling,0.6,1.0,3,151223.3828125,0.8419825304382502
starling,1.0,0,0.5,94440.298828125,0.7294283664394332
starling,1.0,0,1,88064.19921875,0.7670712152962218
starling,1.0,0,2,106646.79296875,0.8052669247605901
starling,1.0,0,3,193963.91796875,1.2861385283312312
starling,1.0,0.3,0.5,75884.896484375,0.6837799250914789
starling,1.0,0.3,1,78617.3203125,0.7343944185928848
starling,1.0,0.3,2,100050.36328125,0.7424173766228581
starling,1.0,0.3,3,213989.06640625,1.1503137465933335
starling,1.0,0.6,0.5,67969.37109375,0.6091025161850961
starling,1.0,0.6,1,72205.220703125,0.7167021843098985
starling,1.0,0.6,2,101286.109375,0.7063119560645128
starling,1.0,0.6,3,212795.35546875,0.9493788086639774
starling,1.0,1.0,0.5,71426.716796875,0.44381074389887565
starling,1.0,1.0,1,72259.24609375,0.607411672768365
starling,1.0,1.0,2,112344.857421875,0.6873809827164626
starling,1.0,1.0,3,253242.55078125,0.8718608918120472
boids_multi,0,0,0.5,115040.5584375,0.4823982470053045
boids_multi,0,0,1,115034.59625,0.482393284611864
boids_multi,0,0,2,115037.36390625,0.4824138535241094
boids_multi,0,0,3,115030.66328125,0.4823776234934709
boids_multi,0,0.3,0.5,113418.3021875,0.48791828199879156
boids_multi,0,0.3,1,113418.45421875,0.48789948091584145
boids_multi,0,0.3,2,113420.775625,0.4879199091781279
boids_multi,0,0.3,3,113424.46359375,0.4879347779869503
boids_multi,0,0.6,0.5,114967.8140625,0.4907690945712907
boids_multi,0,0.6,1,114989.19796875,0.4907397267975105
boids_multi,0,0.6,2,114973.265,0.490793835448972
boids_multi,0,0.6,3,114981.4040625,0.4907360444470122
boids_multi,0,1.0,0.5,115425.53578125,0.4855718540715456
boids_multi,0,1.0,1,115429.3071875,0.4856069195106326
boids_multi,0,1.0,2,115428.98515625,0.485583687205658
boids_multi,0,1.0,3,115431.38390625,0.48558859136551547
boids_multi,0.3,0,0.5,114451.45265625,0.48063393202800564
boids_multi,0.3,0,1,113713.13453125,0.483872874813198
boids_multi,0.3,0,2,115321.19890625,0.49491594230639263
boids_multi,0.3,0,3,116459.8609375,0.5078488131629665
boids_multi,0.3,0.3,0.5,113263.35828125,0.48759689536654527
boids_multi,0.3,0.3,1,112597.1284375,0.4938592646728693
boids_multi,0.3,0.3,2,114482.02515625,0.48811075754489913
boids_multi,0.3,0.3,3,115291.4796875,0.5104833920425369
boids_multi,0.3,0.6,0.5,114088.76984375,0.4885285931453495
boids_multi,0.3,0.6,1,113287.799375,0.4951553977065267
boids_multi,0.3,0.6,2,115125.23453125,0.4885846748557114
boids_multi,0.3,0.6,3,115975.5109375,0.5115019249162441
boids_multi,0.3,1.0,0.5,114637.57265625,0.48772273249837134
boids_multi,0.3,1.0,1,113525.565625,0.4922311260012795
boids_multi,0.3,1.0,2,114761.16875,0.4908189874787556
boids_multi,0.3,1.0,3,116193.58953125,0.5093007316578984
boids_multi,0.6,0,0.5,114704.3428125,0.4793043453559171
boids_multi,0.6,0,1,114047.16984375,0.4909142584665645
boids_multi,0.6,0,2,122943.23125,0.5023863790700583
boids_multi,0.6,0,3,134254.7796875,0.5490841608705601
boids_multi,0.6,0.3,0.5,112966.32765625,0.4832937537938363
boids_multi,0.6,0.3,1,113615.20078125,0.4930817552113133
boids_multi,0.6,0.3,2,121504.5734375,0.49797827498739156
boids_multi,0.6,0.3,3,135150.4246875,0.5560102323461167
boids_multi,0.6,0.6,0.5,114082.97046875,0.4877125631284629
boids_multi,0.6,0.6,1,113985.1853125,0.49111672712954324
boids_multi,0.6,0.6,2,121811.78703125,0.5021814961972446
boids_multi,0.6,0.6,3,136185.16140625,0.5578794536585119
boids_multi,0.6,1.0,0.5,114317.97578125,0.4851477694164017
boids_multi,0.6,1.0,1,114412.23671875,0.4901088330064912
boids_multi,0.6,1.0,2,122130.10953125,0.49163037920407043
boids_multi,0.6,1.0,3,135322.30953125,0.5514005313541605
boids_multi,1.0,0,0.5,115160.2646875,0.48049402719673073
boids_multi,1.0,0,1,115023.61328125,0.4807644579671104
boids_multi,1.0,0,2,132897.68,0.5262730455430199
boids_multi,1.0,0,3,207955.945625,0.8695068144367145
boids_multi,1.0,0.3,0.5,112935.47921875,0.48760506625427047
boids_multi,1.0,0.3,1,113812.50078125,0.4869195075919643
boids_multi,1.0,0.3,2,132536.13765625,0.52702240513236
boids_multi,1.0,0.3,3,202929.63703125,0.7731349213110383
boids_multi,1.0,0.6,0.5,114011.4975,0.4892917656982241
boids_multi,1.0,0.6,1,114603.641875,0.4927133311080667
boids_multi,1.0,0.6,2,132664.71578125,0.529129630505371
boids_multi,1.0,0.6,3,210192.1996875,0.7815356369844549
boids_multi,1.0,1.0,0.5,114281.9290625,0.48292037885238626
boids_multi,1.0,1.0,1,115331.78578125,0.4895677461155426
boids_multi,1.0,1.0,2,133078.54921875,0.530962713363449
boids_multi,1.0,1.0,3,200089.6303125,0.7562220395477521
clutter,0,0,0.5,168712.681875,0.8721511323127248
clutter,0,0,1,168710.0365625,0.8720391232058256
clutter,0,0,2,168713.1846875,0.8721158619225632
clutter,0,0,3,168695.520625,0.872216226207756
clutter,0,0.3,0.5,160709.9675,1.0331116211254914
clutter,0,0.3,1,160664.0659375,1.03379473333193
clutter,0,0.3,2,160739.2503125,1.0330215492845378
clutter,0,0.3,3,160692.711875,1.0333150720231996
clutter,0,0.6,0.5,160755.5678125,1.0624966699137857
clutter,0,0.6,1,160802.4553125,1.0631702683936737
clutter,0,0.6,2,160788.781875,1.062033749152509
clutter,0,0.6,3,160818.8175,1.062474288752596
clutter,0,1.0,0.5,164718.916875,1.0131582959245922
clutter,0,1.0,1,164771.524375,1.0134908207765654
clutter,0,1.0,2,164789.99,1.0138112090899747
clutter,0,1.0,3,164809.869375,1.0137523409529725
clutter,0.3,0,0.5,166095.3871875,0.8789963716007212
clutter,0.3,0,1,163200.481875,0.8611792169888804
clutter,0.3,0,2,164829.3075,0.8555664244956916
clutter,0.3,0,3,166800.2528125,0.9397120514369351
clutter,0.3,0.3,0.5,160460.9309375,1.002226348659641
clutter,0.3,0.3,1,158401.2146875,1.0033520347753198
clutter,0.3,0.3,2,161613.6409375,0.917296325134436
clutter,0.3,0.3,3,163656.8178125,0.9720531506045227
clutter,0.3,0.6,0.5,160433.7303125,1.042461820781584
clutter,0.3,0.6,1,158773.266875,1.0607422294526623
clutter,0.3,0.6,2,160558.49625,1.0099366570370938
clutter,0.3,0.6,3,164435.3571875,1.0133059610035031
clutter,0.3,1.0,0.5,163063.8625,1.0257294738467495
clutter,0.3,1.0,1,160891.599375,1.048953317991135
clutter,0.3,1.0,2,163173.038125,0.9843944916063718
clutter,0.3,1.0,3,167499.0390625,0.9899625853950549
clutter,0.6,0,0.5,165942.1440625,0.8786019468017667
