Complexity,Loss,Equation
1,0.34956047,"x1"
3,0.114345625,"x1 * 1.5378035"
5,0.10829566,"(x1 ^ 0.9744559) * 2.0198882"
7,0.10116204,"((x1 * -1.5121069e-6) + 1.6627749) * x1"
8,0.08679464,"x1 * ((0.1996396 / log(x0)) + 1.392011)"
9,0.0846877,"((0.35859996 / (x0 + -1.3047097)) + 1.3807083) * x1"
10,0.08352759,"(x1 * (1.7532793 + (0.2650707 / log(x0)))) ^ 0.9791067"
12,0.08351225,"(((0.2650707 / log(x0)) + 1.7532793) * (x1 + -2.2312226)) ^ 0.9791067"
13,0.08099421,"(1.3353932 + (0.35350558 / (x0 + -1.33404))) * ((x0 ^ 5.2148743) + x1)"
15,0.08096475,"((0.35350567 / (x0 + -1.3340398)) + 1.3353935) * (((x0 ^ 5.2148747) + x1) - 5.2148747)"
