Complexity,Loss,Equation
1,0.4293693,"x0"
3,0.12020109,"x0 * 1.7113816"
5,0.10424568,"(x0 * 3.7023098) ^ 0.93595153"
6,0.10280695,"log(x0) * (x0 ^ 0.83049107)"
7,0.09530838,"((x0 ^ 0.8052651) + -370.3422) * 16.206388"
8,0.087864086,"(exp(x0 ^ 0.1986889) - x0) * -2.093184"
10,0.08686904,"((exp(x0 ^ 0.1986889) - x0) - -93.067345) * -2.093184"
12,0.08481211,"(((x0 ^ 0.17911857) - log(x0)) - -1.955802) * (147.23576 - x0)"
14,0.08480689,"(((x0 ^ 0.17911857) - log(x0)) - -1.955802) * (146.18752 - (x0 + -1.955802))"
15,0.08360906,"(((x0 ^ 0.17553166) - log(x0)) - -2.066876) * (exp(x0 ^ 0.19385737) - x0)"
