Complexity,Loss,Equation
1,0.20077643,"1479.488"
3,0.19995028,"x2 + 1463.6978"
4,0.19181328,"log(x1) * 565.3882"
5,0.18548697,"(1.3108861 ^ x1) - -1432.1316"
6,0.16819613,"1478.8124 - (exp(x2) * -1.2995507e-13)"
8,0.1673491,"exp((x2 + -27.490341) * 0.7948387) + 1478.32"
9,0.16246253,"(log(x1) * 543.86945) - (exp(x2) * -1.266249e-13)"
10,0.15895806,"((1.304799 ^ x1) - -1432.2426) - (exp(x2) * -1.1232406e-13)"
12,0.157878,"(((1.312553 ^ x1) - -1690.1941) - (exp(x2) * -1.4321002e-13)) * 0.805523"
13,0.14892666,"((exp(x1 + -8.852191) + exp(x2 + -14.286196)) * 2.0843599e-7) + 1478.3103"
15,0.1483829,"(((exp(x1 + -8.852166) + exp(x2 + -14.286154)) * 2.0782262e-7) + x1) + 1465.0557"
